           REGISTRO DE FALTAS
========================================
Licencia       Fecha         Placa
15029228     10/12/2019     C0P-895
48450395     16/10/2020     Q5S-871
73357516     27/05/2019     E6R-293
50200823     23/07/2020     Q6C-943
88167677     06/09/2019     V7U-622
16925690     14/05/2019     F3F-478
87282766     25/02/2019     S1D-093
73357516     02/09/2019     G0B-604
38862473     14/05/2019     S6Y-726
82031355     25/11/2020     J0J-790
54141214     20/04/2019     J7Y-327
15115705     03/01/2019     N9Q-814
39544560     06/06/2019     Y0K-784
32244565     20/09/2020     W9L-468
60784914     20/05/2020     C6Q-548
73567806     26/07/2019     E2D-493
47844324     02/01/2019     X7J-719
15559308     03/11/2020     X6O-905
16925690     21/02/2020     F3F-478
27864822     16/01/2019     T9U-338
42956681     29/07/2020     A6D-661
53853385     27/11/2020     R6P-267
54447051     18/12/2019     D5W-773
60784914     19/10/2019     A8J-929
89941095     24/09/2019     P6T-244
71578206     16/11/2020     L4H-670
32090869     16/04/2020     L4B-291
79766395     07/01/2019     T3R-184
88167677     05/05/2019     O0C-616
73567806     31/12/2019     A7Y-833
73357516     01/02/2020     J2K-636
86718074     06/12/2019     L4O-783
71578206     05/08/2020     G7Z-721
32244565     07/11/2019     J1E-736
79766395     23/08/2020     H7P-047
49428502     07/10/2019     T0V-569
63736112     30/07/2020     T9A-930
53853385     04/10/2020     O5L-856
73357516     06/09/2020     J2K-636
73357516     25/06/2019     G0B-604
30046639     08/08/2020     L8F-459
73972114     31/08/2020     J2M-606
77367073     08/05/2020     H9A-097
77367073     20/03/2020     W4W-684
82870470     10/06/2019     C4O-436
77763722     23/10/2020     Q4P-612
32244565     08/04/2019     J1E-736
27268323     28/01/2020     L6Z-161
34248357     11/02/2019     U0T-459
24859596     05/10/2019     A8P-118
80457845     10/12/2019     M7F-612
88854166     11/11/2020     L3N-150
34248357     23/09/2020     H4R-733
87495937     18/08/2019     L2H-207
39544560     25/04/2020     Y0K-784
47528229     16/01/2019     T8Y-354
50200823     05/09/2019     R0P-255
82031355     02/03/2019     Z5D-724
54141214     26/09/2019     J7Y-327
64532449     31/03/2020     X3Z-285
15559308     02/09/2019     S3L-803
48878256     03/05/2019     G2R-979
27185429     22/10/2020     U3F-754
54447051     24/02/2019     G3Y-654
16477908     29/10/2020     X9D-758
64532449     08/09/2019     J0V-437
45043076     06/08/2020     R1T-735
16477908     21/09/2020     I0E-459
60784914     01/05/2019     A8J-929
19963454     03/09/2020     X9O-440
79641328     17/07/2019     X8Q-687
19963454     08/11/2020     T9D-604
48878256     20/08/2019     G2R-979
86718074     22/09/2020     L4O-783
36079131     10/04/2020     I0W-872
12270502     17/12/2019     Y5F-449
75348522     11/04/2020     X0D-655
42956681     14/03/2019     L8Z-555
66849703     20/02/2019     J2F-853
73567806     15/04/2019     A7Y-833
80457845     26/05/2019     M7F-612
47528229     11/04/2020     I4H-529
90467829     31/07/2020     K4H-445
26522329     06/03/2019     W7R-114
82870470     09/07/2020     C4O-436
77763722     01/09/2019     Q4P-612
32244565     29/04/2019     M8W-853
19963454     15/01/2020     T9D-604
71578206     13/09/2019     Y9F-491
53374153     20/06/2019     V7L-069
48878256     31/08/2019     Z4L-514
35912665     19/12/2019     O4X-500
45043076     12/01/2019     I1D-713
